Complexity,Loss,Equation
1,2841.2395,"x2"
3,2613.8943,"-0.31347954 / x1"
5,1900.0616,"(1.1900522 - x2) / x1"
6,1777.329,"(sqrt(x2) - x2) / x1"
7,116.706924,"(0.0052132253 / (x0 + -0.029737385)) / x1"
9,104.88767,"(0.009392429 / (x0 + (-0.031861402 - x1))) / x1"
11,86.88328,"0.013353179 / ((x0 + (-0.033058383 - (x1 / 0.8895605))) * x1)"
13,67.00455,"((4.0510586e-5 / (x1 * (x0 - 0.00340952))) * (x2 + -0.74883944)) / x1"
15,64.2499,"(((x2 + -0.7957721) / (x1 * (x0 - (x1 * -0.15170401)))) * 4.672131e-5) / x1"
17,64.01864,"x2 * ((((x2 + -0.7157817) / ((x0 - (x1 * -0.1545184)) * x1)) / x1) * 1.5235969e-5)"
19,42.348408,"(((3.1053143e-5 / ((x0 - (x1 / 0.4640193)) * x1)) * x2) + 0.0039989543) / ((x1 - x0) * x0)"
