Complexity,Loss,Equation
1,2.390009,"-2.773011"
3,1.9942023,"-1.526905 - x1"
5,1.5596004,"-1.2097839 - (x1 * x2)"
7,1.1928155,"-0.80719244 - ((x1 * x0) * x2)"
9,0.87896764,"(-1.4480888 / x5) - ((x0 * x2) * x1)"
11,0.5635493,"(-2.4640415 / (x3 * x4)) - (x0 * (x1 * x2))"
13,0.28775465,"(-1.561236 / x4) - (((x0 / x3) + (x2 / x5)) * x1)"
15,0.15588215,"((x2 * -1.2436614) / x4) - (((x0 / x3) + (x2 / x5)) * x1)"
17,3.5132846e-14,"(x2 * ((x0 / x4) * -1.0)) - (x1 * ((x0 / x3) + (x2 / x5)))"
19,3.472677e-14,"((x2 * (x0 / x4)) / -1.0) - ((x1 * (x2 / x5)) + (x1 / (x3 / x0)))"
31,3.453082e-14,"(x0 / (x4 / (x2 * -1.0))) - ((x1 * (x2 / x5)) + (x1 / ((x3 / x0) + (((x3 + x0) / ((x5 / -0.002005645) / -0.002005645)) * 0.0014712333))))"
33,3.4487085e-14,"((x0 / (x4 / x2)) * -1.0) - ((x1 * (x2 / x5)) + (x1 / ((x3 / x0) + (((x3 + x0) / (x0 + ((x5 / -0.00246135) / -0.002740129))) * 0.0009000765))))"
